,Sub_ID,Stim,BlockType,Alpha,Theta,Rho,neg_ll,BIC
92,clwe99,57,nonsocial,0.05141798945710266,50.0,1.0,3.602330604276551,14.659381157917103
93,clwe99,41,nonsocial,0.03608715777569254,50.0,1.0,2.213023209004832,11.880766367373665
94,clwe99,63,nonsocial,0.5999581590585612,50.0,0.365618808457828,0.8853428612723482,9.225405671908698
95,clwe99,39,nonsocial,1.0,31.213437169721644,0.98006948404925,4.852030741322185,17.15878143200837
96,copr92,42,social,1.0,25.000000539920425,0.0,7.624622712804621,22.703965374973244
97,copr92,84,social,0.8210020961173908,50.0,0.0,6.830818751015258,21.116357451394517
98,copr92,32,social,0.024948294342727235,50.0,0.0,7.485974564585469,22.42666907853494
99,copr92,30,social,1.0,25.794765916893454,1.0,5.5451874628525735,18.545094875069147
100,copr92,95,nonsocial,0.08643396653516225,50.0,0.2924817886217741,6.254368037359489,19.96345602408298
101,copr92,35,nonsocial,0.9348478563532259,50.0,0.0,7.247035213006592,21.948790375377186
102,copr92,85,nonsocial,0.9420967932635818,50.0,0.0,7.286607111913803,22.027934173191607
103,copr92,23,nonsocial,0.002031236290807251,50.0,0.0,8.267362362225695,23.98944467381539
104,djlu96,70,social,0.023105223984036326,50.0,0.9998241065142958,6.343583735049562,20.141887419463124
105,djlu96,60,social,0.0,1.0,0.0,8.317766166719343,24.090252282802687
106,djlu96,62,social,0.023935223687981552,50.0,0.9579317185382784,3.638343634891516,14.731407219147034
107,djlu96,32,social,0.06508037905427581,50.0,0.31766813283141415,6.780191910994054,21.01510377135211
108,djlu96,13,nonsocial,0.0,1.0,0.0,8.317766166719343,24.090252282802687
109,djlu96,63,nonsocial,0.25874120096092684,50.0,0.3847470608252468,3.012905968867956,13.480531887099914
110,djlu96,43,nonsocial,0.0,1.0,0.0,8.317766166719343,24.090252282802687
111,djlu96,65,nonsocial,0.002031236679197506,50.0,0.0,8.267362362225692,23.989444673815385
112,dmal96,56,social,0.05738280948587535,50.0,0.17751158943854278,6.910480738835686,21.275681427035373
113,dmal96,40,social,0.34425644930232335,50.0,0.33264744153710735,2.6830156502196005,12.820751249803202
114,dmal96,22,social,0.21600948715111865,50.0,1.0,0.7006317845661629,8.855983518496327
115,dmal96,62,social,0.18322291899917179,50.0,1.0,0.710144071616298,8.875008092596598
116,dmal96,59,nonsocial,0.14479142293237568,50.0,0.6703179223098819,3.363172875349802,14.181065700063606
117,dmal96,23,nonsocial,0.1770005087628185,50.0,0.5566372858442162,2.6897868786075834,12.834293706579167
118,dmal96,81,nonsocial,0.865428116784084,50.0,0.5602891183209333,1.7213819183414447,10.897483786046891
119,dmal96,31,nonsocial,0.07448297088639799,50.0,1.0,3.337684721658653,14.130089392681308
120,elmi00,52,nonsocial,0.006087233213072911,50.0,1.0,7.804658678288192,23.064037305940385
121,elmi00,26,nonsocial,0.011822473662075885,50.0,1.0,6.316098679593114,20.08691730855023
122,elmi00,54,nonsocial,0.03925474660672812,50.0,0.254928468244027,6.784068320401612,21.022856590167226
123,elmi00,82,nonsocial,0.0,1.0,0.0,8.317766166719343,24.090252282802687
124,elmi00,53,social,1.0,50.0,1.0,2.7725887222953327,12.999897393954667
125,elmi00,59,social,0.9091565765579052,50.0,0.0,7.150343759849283,21.75540746906257
126,elmi00,55,social,0.9100651147728589,50.0,0.0,7.15201103685309,21.758742023070184
127,elmi00,51,social,0.9223667274621103,50.0,0.5895691705906989,1.7253969839186178,10.905513917201237
128,fake01,92,nonsocial,0.0032263975496394535,50.0,0.0,8.198404140043525,23.851528229451052
129,fake01,62,nonsocial,0.9097332077556234,50.0,0.0020520135026876767,7.140388488416416,21.735496926196834
130,fake01,58,nonsocial,0.2579269646809024,39.05090047584713,1.0,2.787270054664307,13.029260058692616
131,fake01,26,nonsocial,0.46264850440973554,50.0,1.0,0.6932275178715042,8.84117498510701
132,fake01,27,social,0.0,1.0,0.0,8.317766166719343,24.090252282802687
133,fake01,57,social,0.9284439151761079,50.0,0.49728514382886635,5.841722407115729,19.138164763595462
134,fake01,11,social,0.06308786267351434,50.0,0.6887430018154406,4.94517830167885,17.3450765527217
135,fake01,55,social,1.0,25.10733644195924,1.0,0.6931507126009412,8.841021374565884
136,flre91,46,social,1.0,31.47574981203205,0.5511326325533603,3.396514580018508,14.247749109401017
137,flre91,42,social,0.0691583820939984,50.0,0.8866299424152562,3.8908471574502324,15.236414264264466
138,flre91,24,social,0.21600948715111865,50.0,1.0,0.7006317845661629,8.855983518496327
139,flre91,28,social,0.19043500189034424,50.0,0.7287995265232716,3.1695430818674066,13.793806113098814
140,flre91,15,nonsocial,0.4993299419918261,50.0,1.0,0.6931550151218034,8.841029979607608
141,flre91,81,nonsocial,0.05486140605762706,50.0,0.5909864698681289,3.787630200973181,15.029980351310364
142,flre91,23,nonsocial,1.0,27.905220127475452,1.0,0.6931567712738733,8.841033491911748
143,flre91,93,nonsocial,0.10925747858547065,50.0,1.0,1.661980855829782,10.778681661023565
144,flto91,94,nonsocial,0.01846341810608897,50.0,0.6742827901483993,5.696856481707535,18.84843291277907
145,flto91,90,nonsocial,0.03485402498766172,50.0,0.33509576371085836,6.371288330050847,20.197296609465695
