,Sub_ID,Stim,BlockType,Alpha,Theta,neg_ll,BIC
228,elmi00,53,social,1.0,25.82591829763132,2.772598585798252,10.515010471172506
229,elmi00,59,social,0.0,1.0,8.317766166719343,21.605345633014686
230,elmi00,55,social,0.0,1.0,8.317766166719343,21.605345633014686
231,elmi00,51,social,0.9834811773571879,50.0,1.9791595764926968,8.928132452561394
232,maro96,92,nonsocial,1.0,1.4820004469450334,7.440254548512149,19.850322396600298
233,maro96,32,nonsocial,1.0,27.877427474869055,0.6931569054798286,6.356127110535658
234,maro96,12,nonsocial,1.0,25.214004486865022,0.6931572260909376,6.356127751757876
235,maro96,60,nonsocial,0.3695237534206106,8.292732674989097,3.4501046641561066,11.870022627888215
236,maro96,17,social,1.0,1.2196731685104734,7.022904720533348,19.015622740642698
237,maro96,19,social,1.0,1.0,7.50135712628777,19.97252755215154
238,maro96,65,social,0.7484220741540771,2.0863358223179254,6.345099545885983,17.660012391347966
239,maro96,47,social,0.46863533945610875,6.701576042300601,5.183639743906355,15.337092787388709
240,thha00,68,social,0.014089324256539866,50.0,5.770214161334188,16.510241622244376
241,thha00,66,social,0.004079943146081037,50.0,8.116906982460254,21.203627264496507
242,thha00,28,social,0.011612853045798555,50.0,5.410366417265497,15.790546134106993
243,thha00,82,social,0.007628316492171211,50.0,7.504115575989258,19.978044451554517
244,thha00,51,nonsocial,0.20981764647202572,50.0,0.7180612305763875,6.4059357607287755
245,thha00,89,nonsocial,0.5028681905471878,50.0,1.3867025243856501,7.743218348347301
246,thha00,27,nonsocial,0.3480134679876992,6.4104296103194685,4.322599141553573,13.615011582683145
247,thha00,21,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
248,mida99,96,social,0.004916028776489846,50.0,7.958125440986281,20.886064181548562
249,mida99,80,social,0.0,1.0,8.317766166719343,21.605345633014686
250,mida99,46,social,0.3756275980901206,1.0,8.034785859842987,21.039385019261974
251,mida99,72,social,0.0,1.0,8.317766166719343,21.605345633014686
252,mida99,53,nonsocial,0.2723948278723335,50.0,0.696136970776829,6.362087241129659
253,mida99,51,nonsocial,0.4983677399058998,50.0,0.6931554313986505,6.356124162373302
254,mida99,93,nonsocial,0.3193074123516577,50.0,0.6936943195768017,6.357201938729604
255,mida99,97,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
256,sasu98,70,social,0.0,1.0,8.317766166719343,21.605345633014686
257,sasu98,50,social,0.012389109991497074,50.0,6.114145461248025,17.19810422207205
258,sasu98,24,social,0.0,1.0,8.317766166719343,21.605345633014686
259,sasu98,98,social,0.0030880302283838837,50.0,8.052396957084989,21.074607213745978
260,sasu98,61,nonsocial,0.735984563355658,3.652822075667483,4.667605243818145,14.305023787212292
261,sasu98,19,nonsocial,0.8852587637191973,1.0619778754152147,7.316409830018504,19.602632959613008
262,sasu98,51,nonsocial,1.0,1.794422705690656,6.524743251154589,18.01929980188518
263,sasu98,27,nonsocial,0.2490209916007169,4.9130197403863445,5.523888591444437,16.017590482464875
264,TRED59,48,nonsocial,0.2723948241245985,50.0,0.6961369707768289,6.362087241129658
265,TRED59,12,nonsocial,0.2723948241245985,50.0,0.6961369707768289,6.362087241129658
266,TRED59,76,nonsocial,0.0542210442330513,50.0,3.5936613736304954,12.157136046836992
267,TRED59,96,nonsocial,0.021640222386556326,50.0,5.71155101798707,16.39291533555014
268,TRED59,85,social,0.006080201509135879,50.0,7.522589238927607,20.014991777431213
269,TRED59,77,social,1.0,25.0,5.545181171167454,16.06017564191091
270,TRED59,17,social,1.0,3.7990312778676616,3.540088682593926,12.049990664763854
271,TRED59,73,social,0.04349779835285779,50.0,2.3684654127471423,9.706744125070285
272,juzi87,62,nonsocial,0.0026077000850953575,50.0,8.06163750157087,21.09308830271774
273,juzi87,10,nonsocial,1.0,1.868632476056828,5.826184899855815,16.622183099287632
274,juzi87,24,nonsocial,0.011166462596696484,50.0,5.82635749049613,16.62252828056826
275,juzi87,20,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
276,juzi87,53,social,1.0,1.4901113195686864,6.094075072236859,17.15796344404972
277,juzi87,89,social,0.006963683739171283,50.0,7.899862298809196,20.769537897194393
278,juzi87,55,social,0.0,1.0,8.317766166719343,21.605345633014686
279,juzi87,25,social,0.0,1.0,8.317766166719343,21.605345633014686
280,mabe00,10,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
281,mabe00,52,nonsocial,0.7923278026980978,2.256931788710794,5.951150573687339,16.87211444695068
282,mabe00,84,nonsocial,1.0,1.0,7.720427322667607,20.410667944911214
283,mabe00,22,nonsocial,0.4164996654867807,3.1455486998977022,7.415390133194944,19.80059356596589
284,mabe00,43,social,1.0,1.960886379049684,5.973735223491598,16.917283746559196
285,mabe00,61,social,1.0,50.0,4.8520302639612805,14.67387382749856
286,mabe00,85,social,0.38552704819885303,7.527734041730515,3.917758180709099,12.805329660994198
287,mabe00,71,social,0.0008034583501308345,39.25103341936737,8.309894909613023,21.589603118802046
288,anpe97,64,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
289,anpe97,96,nonsocial,0.6484654837040457,2.1636572913427874,6.4601984753246455,17.89021025022529
290,anpe97,74,nonsocial,0.14401395623044988,50.0,0.7620741489636902,6.493961597503381
291,anpe97,98,nonsocial,1.0,1.0,7.7998410399222795,20.56949537942056
292,anpe97,31,social,0.012854359550393536,50.0,5.093604808874,15.157022917324
293,anpe97,37,social,0.4627793988955174,2.966845755309256,5.538937140214634,16.04768758000527
294,anpe97,21,social,0.5282426614265574,3.3190536852065335,6.947453785780134,18.864720871136267
295,anpe97,81,social,0.009112872951811379,50.0,7.272681716552971,19.515176732681944
296,yach03,16,nonsocial,0.016673435204346502,50.0,5.135854790563779,15.24152288070356
297,yach03,60,nonsocial,0.8230074088611142,4.0352165338134505,4.171105872048479,13.312025043672957
298,yach03,22,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
299,yach03,94,nonsocial,0.010907792655027415,50.0,6.713884347739901,18.397581995055802
300,yach03,69,social,0.0,1.0,8.317766166719343,21.605345633014686
301,yach03,99,social,0.005254708888847083,50.0,7.390272910858001,19.750359121292004
302,yach03,23,social,0.0,1.0,8.317766166719343,21.605345633014686
303,yach03,67,social,0.0,1.0,8.317766166719343,21.605345633014686
304,gefr88,74,nonsocial,0.5009444820499358,50.0,1.3882266369896046,7.74626657355521
305,gefr88,84,nonsocial,0.03586322684577014,50.0,2.2108109707975174,9.391435241171035
306,gefr88,52,nonsocial,1.0,27.877427474869055,0.6931569054798286,6.356127110535658
307,gefr88,98,nonsocial,0.8313176548421551,11.716106235511306,3.0810188740692745,11.13185104771455
308,gefr88,21,social,0.31203645109744804,50.0,0.693850494475958,6.357514288527916
309,gefr88,37,social,0.15445011990473334,10.971924891691408,5.761207829672792,16.492228958921586
310,gefr88,49,social,0.0072223654493442195,50.0,6.771810816925548,18.513434933427096
311,gefr88,65,social,1.0,3.799031267274671,3.5400886825939257,12.049990664763852
312,node99,30,social,0.8420784255835091,2.501741624974116,4.201057740626404,13.37192878082881
313,node99,34,social,0.0,1.0,8.317766166719343,21.605345633014686
314,node99,68,social,0.46265649672193915,50.0,0.6932275178710624,6.356268335318125
315,node99,84,social,0.5425261230406969,3.0609804644081926,4.519996877354373,14.009807054284746
316,node99,27,nonsocial,0.6888893041771222,3.7302358535420708,3.9468972840271372,12.863607867630275
317,node99,81,nonsocial,0.8283092124311565,1.9082332256488836,6.617201293934756,18.204215887445514
318,node99,73,nonsocial,1.0,3.620647148156173,4.878123414282284,14.726060128140567
319,node99,29,nonsocial,0.2723948278723335,50.0,0.696136970776829,6.362087241129659
320,flre91,46,social,1.0,3.799031267274671,3.5400886825939257,12.049990664763852
321,flre91,42,social,0.13504772141623583,19.308909475710742,3.9406604413054573,12.851134182186915
322,flre91,24,social,0.21600948726564237,50.0,0.7006317845661632,6.371076868708327
323,flre91,28,social,0.4702845840503371,11.765395172158838,3.7845847351653394,12.53898276990668
324,flre91,15,nonsocial,0.49933069685332876,50.0,0.6931550151218067,6.356123329819614
325,flre91,81,nonsocial,0.09091521195470174,16.3167504145038,4.039468121193053,13.048749541962106
326,flre91,23,nonsocial,1.0,27.877427474869055,0.6931569054798286,6.356127110535658
327,flre91,93,nonsocial,0.10925747764726247,50.0,1.661980855829783,8.293775011235567
328,veri93,78,social,0.0,1.0,8.317766166719343,21.605345633014686
329,veri93,20,social,0.31334912655169694,4.690652159314534,6.413186464522941,17.79618622862188
330,veri93,24,social,0.0,1.0,8.317766166719343,21.605345633014686
331,veri93,84,social,1.0,30.023018382492634,5.545178049283283,16.060169398142566
332,veri93,41,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
333,veri93,89,nonsocial,1.0,1.593262727929725,7.049470331883413,19.068753963342825
334,veri93,99,nonsocial,1.0,1.801529475050616,6.901107219772253,18.772027739120507
335,veri93,65,nonsocial,0.6882295064717459,1.8447165036772415,7.08397025498968,19.13775380955536
336,alsp92,76,social,0.0,1.0,8.317766166719343,21.605345633014686
337,alsp92,94,social,0.0,1.0,8.317766166719343,21.605345633014686
338,alsp92,26,social,0.06261242641003092,2.4776037614800845,8.14221106093147,21.25423542143894
339,alsp92,68,social,0.03674121398502184,50.0,2.221228301977278,9.412269903530557
340,alsp92,23,nonsocial,1.0,1.0,8.059612026005725,21.08903735158745
341,alsp92,37,nonsocial,1.0,1.5870570195087625,6.508856670180137,17.987526639936274
342,alsp92,71,nonsocial,0.7167782195049462,1.6659985003123086,6.74657696207148,18.462967223718962
343,alsp92,81,nonsocial,1.0,25.023068976757813,0.6931508646039614,6.356115028783924
344,dmal96,56,social,0.9589823225255676,1.0,8.1776901776763,21.3251936549286
345,dmal96,40,social,0.5780583988842991,2.460634240080248,5.117056509722671,15.203926319021342
346,dmal96,22,social,0.21600948726564237,50.0,0.7006317845661632,6.371076868708327
347,dmal96,62,social,0.18322291669633944,50.0,0.710144071616298,6.3901014428085965
348,dmal96,59,nonsocial,0.3685870006544107,7.782316895276366,3.7378755008019593,12.44556430117992
349,dmal96,23,nonsocial,0.02675268120062711,50.0,2.968169332670383,10.906151964916766
350,dmal96,81,nonsocial,0.8894235559999915,16.184832643973536,2.2183308391838414,9.406474977943684
351,dmal96,31,nonsocial,0.07448297465450149,50.0,3.337684721658651,11.645182742893303
352,ivmi00,50,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
353,ivmi00,40,nonsocial,0.005168213305561217,50.0,8.12755051195003,21.22491432347606
354,ivmi00,84,nonsocial,0.04528109108407589,50.0,4.274460586867224,13.518734473310449
355,ivmi00,30,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
356,ivmi00,95,social,0.0,1.0,8.317766166719343,21.605345633014686
